Feature,Weight
want real,0.6103978402989497
largest,0.6103978402989497
dogging network,0.6103978402989497
uk largest,0.6103978402989497
location sent,0.6103978402989497
get laid,0.6103978402989497
within day,0.6095917996019972
direct ur,0.609547570890142
recent review,0.6084098283290919
recent,0.6084098283290919
valued customer,0.6084098283290919
advise,0.6084098283290919
mob awarded,0.6084098283290919
customer pleased,0.6084098283290919
following recent,0.6084098283290919
review mob,0.6084098283290919
advise following,0.6084098283290919
pleased advise,0.6084098283290919
bonus prize,0.6084098283290919
freefone,0.6058285475284388
update latest,0.6050552314293648
orange user,0.6049026670873842
information orange,0.6049026670873842
currently pound,0.6026082075038297
pound maximize,0.6026082075038297
part,0.6018297781268291
weekly comp,0.6013621557976155
txt music,0.6005407396584986
draw txt,0.6005407396584986
total,0.6002741796144306
title eg,0.5996766762158617
send free,0.5994661214089765
comp,0.5982968595299144
box sk,0.5966312232546973
play send,0.5966065808119578
bt national,0.5965523615650052
nokia tone,0.5962508282489594
inclusive,0.5959814550706669
per min,0.5959165129827441
